"The Lilly Faculty Registry reports direct and indirect payments by Lilly, as well as Lilly’s portion of alliance partnership payments, to health care professionals serving as faculty members. When the ""Entity Paid"" is a company, hospital or university, and there is a different name listed as the service provider, it reflects an indirect payment which may or may not actually have been received in whole or in part by the listed service provider. Note: This report is designed to comply with Lilly’s Corporate Integrity Agreement reporting obligations. Due to differences in scope and definitions, the data reported in this report may differ from data included in reports submitted by Lilly for compliance with state payment reporting laws.","","","","","","","",""
"ABRAMOVICH, IRENE S","MANCHESTER, CT",CT,"ABRAMOVICH, IRENE S","","42,563","","4 ,690","47,253"
"ABRUZZO, JOHN L","BALA CYNWYD, PA",PA,"ABRUZZO, JOHN L","","3,225","",31,"3,256"
"ABUZZAHAB, FARUK S","SAINT LOUIS PARK, MN",MN,"ABUZZAHAB, FARUK S","","35,700","",120,"35,820"
ACADEMIC SPEAKERS OF AMERICA,"AGUA DULCE, CA",CA,"ALTMAN, ROY P","","","3,000",370,"3,370"
ACADEMY FOR MEDICAL EDUCATION,"SAN DIEGO, CA",CA,"MAHMUD, EHTISHAM","","18,309","1,500","1 ,202","21,011"
"ACCESS TO PSYCHIATRY, INC","CRANSTON, RI",RI,"BESSETTE, ROBERT F","","51,488","","2 ,017","53,504"
"ACOSTA, BRENDA M","MIAMI, FL",FL,"ACOSTA, BRENDA M","","3,725","","","3,725"
ADAM M ROSEN MD,"CLEARWATER, FL",FL,"ROSEN, ADAM M","","10,725","",38,"10,763"
"ADAM ROTH, M.D., P.A.","ANNAPOLIS, MD",MD,"ROTH, ADAM M","","36,600","",409,"37,009"
"ADDALA, SRINIVAS","CLINTON, MD",MD,"ADDALA, SRINIVAS","","",625,"",625
"ADDIE-GENTLE, PATRICIA","JONESBORO, GA",GA,"ADDIE-GENTLE, PATRICIA","1,788",994,"",215,"2,997"
"ADDISON, HOLLAND M M","JACKSON, MS",MS,"ADDISON, HOLLAND M M","","10,350","","","10,350"
"ADDO, TAYO A","DALLAS, TX",TX,"ADDO, TAYO A","","6,884","",618,"7,502"
"ADKINS, DOUGLAS R","SAINT LOUIS, MO",MO,"ADKINS, DOUGLAS R","","46,013","","2 ,612","48,624"
"ADLARD, JOHN M","SAINT JOHN, IN",IN,"ADLARD, JOHN M","","3,281","","","3,281"
"ADLER, DAVID N","FAR ROCKAWAY, NY",NY,"ADLER, DAVID N","","46,200","2,750","4 ,292","53,242"
ADM CONSULTING LLC,"CLEVELAND, OH",OH,"NEIDES, DANIEL M","","49,950","2 4,750","2 ,842","77,542"
"ADMANI, IRFAN M","EDGEWATER, NJ",NJ,"ADMANI, IRFAN M","","5,584","","","5,584"
"ADOLPHE, ALLEN B","ALBUQUERQUE, NM",NM,"ADOLPHE, ALLEN B","","","",211,211
"ADRIAN BLOTNER, MD, PC","MEMPHIS, TN",TN,"BLOTNER, ADRIAN B","","2,950","","","2,950"
ADVANCED CARDIOVASCULAR SPECIALIST INC.,"NORTH PALM BEACH, FL",FL,"MOHANTY, JYOTI B","","2,550","","","2,550"
"ADVANCED HEALTHCARE FOR WOMEN, LTD","LA GRANGE, IL",IL,"MULTACK, SCOTT M","","47,225","","1 ,148","48,373"
"ADVANCED NEUROLOGY OF COLORADO, LLC.","FORT COLLINS, CO",CO,"MILLER, TAMARA A","","14,200","",951,"15,151"
"ADVANCED PAIN THERAPIES, LLC","IRMO, SC",SC,"ODOM, WILLIAM T","","48,775","","4 ,862","53,637"
"ADVANCED PHYSICAL MEDICINE & REHABILITATION, PLLC","UTICA, NY",NY,"HAIDER, NAMEER R","","10,950","",231,"11,181"
"ADVANCING NURSING, LLC","NORTHVILLE, MI",MI,"VOLLMAN, KATHLEEN M","","49,450","6,000","6 ,650","62,100"
AETOS ADVISORS,"NEW YORK, NY",NY,"RAFTOPOULOS, HARALAMBO","",113,"",619,731
"AFFILIATED MENTAL HEALTH PROFESSIONALS, S.C.","SKOKIE, IL",IL,"MCNEIL, DAVID L","","45,338","11,750","2 ,733","59,821"
Entity Paid,"","",Provider of Service,Payments*(All Amounts  in US Dollars)* Payments for reimbursed expenses are not compensation.,"","","",""
Name,Location,State,Name,Patient Education Programs,Healthcare Professional Education Programs,Advising/Consulting & International Education Programs,Certain Travel-Related Expenses,2010 Total
"AGARWAL, JAI B","NEW BRUNSWICK, NJ",NJ,"AGARWAL, JAI B","",84,"","",84
"AGARWAL, MANOJ","SACRAMENTO, CA",CA,"AGARWAL, MANOJ","","10,375","",388,"10,763"
"AGARWAL, VANDANA","POMONA, CA",CA,"AGARWAL, VANDANA","","","",158,158
"AGERSBORG, KAREN E","LANSDALE, PA",PA,"AGERSBORG, KAREN E","","4,600","","","4,600"
"AGHA, JAMSHED G","SAINT CHARLES, MO",MO,"AGHA, JAMSHED G","","","1,875","","1,875"
"AGLI, DIANE","PROSPECT, CT",CT,"AGLI, DIANE","2,006","","",134,"2,140"
"AGOSTI, CAROL A","TOLEDO, OH",OH,"AGOSTI, CAROL A","2,906","","",25,"2,931"
"AHMAD, ANWAR","HOUSTON, TX",TX,"AHMAD, ANWAR","","4,484","",58,"4,542"
"AHMANN, ANDREW J","PORTLAND, OR",OR,"AHMANN, ANDREW J","","2,780","",596,"3,376"
"AHMED, INTEKHAB","PHILADELPHIA, PA",PA,"AHMED, INTEKHAB","","20,606","",113,"20,719"
"AHMED, SALEEM","CRANBERRY TOWNSHIP, PA",PA,"AHMED, SALEEM","","5,184","","","5,184"
"AHUJA, SAMIR K","TAKOMA PARK, MD",MD,"AHUJA, SAMIR K","","",625,"",625
"AIELLO, DOMINICK P","NEW HARTFORD, NY",NY,"AIELLO, DOMINICK P","","3,344","",13,"3,357"
"AIKEN, MATTHEW T","LATHAM, NY",NY,"AIKEN, MATTHEW T","","","1,000","","1,000"
"AISENBERG, JAVIER E","HACKENSACK, NJ",NJ,"AISENBERG, JAVIER E","","","4,375",310,"4,685"
"AJC LION SHARE, INC.","BLACKWOOD, NJ",NJ,"CANNON, ANTHONY J","","2,475","","","2,475"
"AJLUNI, STEVEN C","TROY, MI",MI,"AJLUNI, STEVEN C","","19,884","",413,"20,297"
"AJOC, MISTI","OAKLAND, TN",TN,"AJOC, MISTI",225,"","",50,275
"AKERS, REBECCA A","VINCENNES, IN",IN,"AKERS, REBECCA A","1,856","","",228,"2,084"
"AKHRASS, FIRAS","SAN ANTONIO, TX",TX,"AKHRASS, FIRAS","","54,844","","1 ,138","55,981"
"AKHTAR, NADEEM","BIRMINGHAM, AL",AL,"AKHTAR, NADEEM","","5,438","","","5,438"
"ALARIO, FRANK C","MARLBORO, NJ",NJ,"ALARIO, FRANK C","","2,556","",76,"2,632"
"ALATHARI, HUSAM K","FALLS CHURCH, VA",VA,"ALATHARI, HUSAM K","","19,950","2,000","1 ,785","23,735"
"ALBERT J. MARANO, MD","JOHNSTON, RI",RI,"MARANO, ALBERT J","","31,700","",793,"32,493"
"ALBERT, JANICE","JOHNSTOWN, PA",PA,"ALBERT, JANICE","5,513","","",229,"5,741"
"ALBIRINI, ABDULHAY","ZANESVILLE, OH",OH,"ALBIRINI, ABDULHAY","","13,834","",189,"14,023"
"AL-BOTROS, ADONIS S","OKLAHOMA CITY, OK",OK,"AL-BOTROS, ADONIS S","","8,250","",236,"8,486"
"ALCANTARA GONZALEZ, AURORA A","BAYAMON, PR",PR,"ALCANTARA GONZALEZ, AURORA A","","9,088","","","9,088"
ALCHEMIPHARMA  LLC,"WAYNE, PA",PA,"BELAZI, DEA","","","50,531",785,"51,316"
"ALEGRE HERNANDEZ, MANUEL A","RIO PIEDRAS, PR",PR,"ALEGRE HERNANDEZ, MANUEL A","","11,006","","","11,006"
"ALEMAN, MARY","MEADOW VISTA, CA",CA,"ALEMAN, MARY","7,131","","","1 ,116","8,248"
"ALEX, NADINE H","ROGERS, AR",AR,"ALEX, NADINE H","","2,531","","","2,531"
"ALEXANDER, JEANNE L","BERKELEY, CA",CA,"ALEXANDER, JEANNE L","","24,225","","5 ,341","29,566"
"ALEXANDER, LISA G","EVANSVILLE, IN",IN,"ALEXANDER, LISA G","10,819","","","2 ,625","13,444"
"ALEXANDER, MYRNA E","JACKSON, MS",MS,"ALEXANDER, MYRNA E","","4,484","","","4,484"
"ALEXOPOULOS, GEORGE S","WHITE PLAINS, NY",NY,"ALEXOPOULOS, GEORGE S","","31,950",313,"4 ,056","36,319"
"ALFONSO, ABEL","FREDERICKSBURG, VA",VA,"ALFONSO, ABEL","","4,975","",799,"5,774"
"ALGAZY, KENNETH M","PHILADELPHIA, PA",PA,"ALGAZY, KENNETH M","","2,313","",13,"2,326"
"ALGEO, STEPHEN S","TUCSON, AZ",AZ,"ALGEO, STEPHEN S","","12,184","",68,"12,252"
"ALHAJ, MOUSSA M","ASHLAND, KY",KY,"ALHAJ, MOUSSA M","","7,200","",271,"7,471"
"ALI A. BAZZI, MD, LLC","NORTH MIAMI BEACH, FL",FL,"BAZZI, ALI A","","3,384","","","3,384"
"ALI, NADIR N","WEBSTER, TX",TX,"ALI, NADIR N","","32,534","1,100",645,"34,279"
"ALI, SALEEM A","COLUMBUS, MS",MS,"ALI, SALEEM A","","5,650","","","5,650"
"AL-KASSAB, ABDUL K","ROCHESTER HILLS, MI",MI,"AL-KASSAB, ABDUL K","","19,756","",493,"20,249"
"AL-KHAYER, FADI","STORRS MANSFIELD, CT",CT,"AL-KHAYER, FADI","","26,331","",208,"26,539"
"ALLABABIDI, HISHAM F","OWENSBORO, KY",KY,"ALLABABIDI, HISHAM F","","4,838","",54,"4,891"
"ALLAN, JOHN J","STATESVILLE, NC",NC,"ALLAN, JOHN J","",84,"","",84
"ALLAQABAND, SUHAIL Q","MILWAUKEE, WI",WI,"ALLAQABAND, SUHAIL Q","","3,384","","","3,384"
"ALLEGRA, EDWARD C","RED BANK, NJ",NJ,"ALLEGRA, EDWARD C","","11,425","",419,"11,844"
ALLEN KUO D.O.S.C.,"PALATINE, IL",IL,"KUO, ALLEN","","9,200","",586,"9,786"
"ALLEN, CONNETTE R","COTTAGE GROVE, MN",MN,"ALLEN, CONNETTE R","11,113","","","1 ,625","12,738"
"ALLEN, CYNTHIA E","FLOWOOD, MS",MS,"ALLEN, CYNTHIA E","","6,800","","","6,800"
"ALLEN, JOHN W","LA MESA, CA",CA,"ALLEN, JOHN W","","22,800","",588,"23,388"
"ALLEN, MARY J","BOLIVAR, TN",TN,"ALLEN, MARY J","","7 ,744","","1 ,652","9,396"
"ALLENBRAND, BRIAN T","WPAFB, OH",OH,"ALLENBRAND, BRIAN T","","9,331","",496,"9,828"
"ALLIED BEHAVIORAL CONSULTANTS, INC","SAINT LOUIS, MO",MO,"KREISMAN, JEROLD J","","49,988","","3 ,317","53,305"
"ALLISON HEINRICH, L.L.C","LUBBOCK, TX",TX,"HEINRICH, ALLISON","6,450","","",673,"7,123"
Entity Paid,"","",Provider of Service,Payments*(All Amounts  in US Dollars)* Payments for reimbursed expenses are not compensation.,"","","",""
Name,Location,State,Name,Patient Education Programs,Healthcare Professional Education Programs,Advising/Consulting & International Education Programs,Certain Travel-Related Expenses,2010 Total
"ALLISON, JON D","SARATOGA SPRINGS, NY",NY,"ALLISON, JON D","","51,525","","8 ,347","59,872"
"ALLISON, SUSAN C","EASTON, PA",PA,"ALLISON, SUSAN C","20,363","","","3 ,534","23,896"
"ALLYN, JEFFERY L","DES MOINES, IA",IA,"ALLYN, JEFFERY L","",100,"","",100
"ALM, KATHLEEN A","INDEPENDENCE, MO",MO,"ALM, KATHLEEN A","",281,"","",281
"ALMDALE, DAVID P","FORT WAYNE, IN",IN,"ALMDALE, DAVID P","",338,"","",338
"ALMHANA, DIAB M","AVON LAKE, OH",OH,"ALMHANA, DIAB M","","15,175","","1 ,670","16,845"
"AL-MUBASLAT, AHMAD N","KANSAS CITY, MO",MO,"AL-MUBASLAT, AHMAD N","","7,950","",89,"8,039"
"AL-NAJJAR, MAJDI S","NILES, MI",MI,"AL-NAJJAR, MAJDI S","","1,031","","","1,031"
"ALONSO, MARIA DEL CONSUELO","MINEOLA, NY",NY,"ALONSO, MARIA DEL CONSUELO","","","",80,80
ALPHA PSYCHIATRIC ASSOCIATES PLLC,"SCOTTSDALE, AZ",AZ,"SBILIRIS, BILL G","","9,000","","","9,000"
ALPINE CLINIC LLC,"LAFAYETTE, IN",IN,"ELKHALILI, NIZAR","","49,238",250,"2 ,050","51,537"
"ALREFAI, HISHAM A","SCOTTSBURG, IN",IN,"ALREFAI, HISHAM A","","31,838","","2 ,698","34,535"
"ALSHAB, ANDREW K","PORTAGE, MI",MI,"ALSHAB, ANDREW K","","50,175","","","50,175"
"ALSHAMI, EMAD","LEBANON, OH",OH,"ALSHAMI, EMAD","","1,275","",131,"1,406"
ALTA MESA FAMILY MEDICAL CENTER LTD.,"MESA, AZ",AZ,"IZENBERG, DAVID C","","6,375","","","6,375"
"ALTARSHAN, ABDALLAH","EVERGREEN PARK, IL",IL,"ALTARSHAN, ABDALLAH","","2,531","","","2,531"
"ALTESMAN, RICHARD I","CARMEL, NY",NY,"ALTESMAN, RICHARD I","","51,500","1,563","6 ,780","59,843"
"ALTMAN, ALAN P","SPRINGDALE, OH",OH,"ALTMAN, ALAN P","","26,800","","1 ,977","28,777"
"ALTMAN, LEE S","QUINCY, MA",MA,"ALTMAN, LEE S","","9,638","",179,"9,817"
"ALVAREZ, MICHELLE D","MCALLEN, TX",TX,"ALVAREZ, MICHELLE D","6,206","","",116,"6,322"
"ALVAREZ, RONALD D","BIRMINGHAM, AL",AL,"ALVAREZ, RONALD D","","7 ,863","",100,"7,963"
ALZOHAILI MEDICAL CONSULTANTS,"BLOOMFIELD HILLS, MI",MI,"ALZOHAILI, OPADA","","29,431",875,"1 ,422","31,728"
AM DIABETES & ENCRINOLOGY CENTER,"BARTLETT, TN",TN,"LATIF, KASHIF A","",225,"","",225
"AMADEUS MULTIMEDIA TECHNOLOGIES, LTD.","IRVINGTON, NY",NY,"MERCANDO, ANTHONY D","","3 ,384","",17,"3,401"
"AMADO F. SUAREZ, MD P.A.","BRANDON, FL",FL,"SUAREZ, AMADO F","","37,850","","3 ,010","40,860"
"AMAN, SALEEM","FRANKLIN, WI",WI,"AMAN, SALEEM","","33,000","","3 ,402","36,402"
"AMEEN-LEE, JANET","COLUMBIA, MD",MD,"AMEEN-LEE, JANET","3,750","","",87,"3,837"
AMERICAN TELEMEDICINE CENTER CORPORATION,"SAN JUAN, PR",PR,"COLON VEGA, GILDRED E","","6 ,225","",177,"6,402"
"AMEZCUA-PATINO, BHCE","CHANDLER, AZ",AZ,"AMEZCUA-PATINO, LAURO","","51,750","6,000","3 ,024","60,774"
"AMIDON, THOMAS M","KALISPELL, MT",MT,"AMIDON, THOMAS M","","3 ,300","","","3,300"
AMIN HEART ASSOCIATE,"EASTON, PA",PA,"AMIN, DEVENDRA K","","6,884","","","6,884"
"AMIN, DEVENDRA K","PHILLIPSBURG, NJ",NJ,"AMIN, DEVENDRA K","","1 ,700","","","1,700"
"AMIN, SANDEEP","CHICAGO, IL",IL,"AMIN, SANDEEP","","5 ,469","1,750",321,"7,540"
"AMINI, JAVID R","KINGSTON, PA",PA,"AMINI, JAVID R","","10,284","","","10,284"
"AMIR, DORON","BRIDGEPORT, CT",CT,"AMIR, DORON","","6 ,684","",20,"6,704"
"AMIT VIJAPURA, MD","JACKSONVILLE, FL",FL,"VIJAPURA, AMIT K","","24,450","","1 ,066","25,516"
"AMUNDSON, HELEN","HELENA, MT",MT,"AMUNDSON, HELEN","1,200","","",110,"1,310"
"ANAGNOSTIS, GEORGE","ARLINGTON, TX",TX,"ANAGNOSTIS, GEORGE","","56,256","","4 ,930","61,186"
"ANAYS SANTANA-IZQUIERDO, MD, PA","MIAMI, FL",FL,"SANTANA-IZQUIERDO, ANAYS J","","3,400","","","3,400"
"ANDARIESE, JUDITH","BROOKLYN, NY",NY,"ANDARIESE, JUDITH","16,013","","","2 ,589","18,601"
ANDERSON FAMILY HEALTHCARE,"VERSAILLES, KY",KY,"WELLING, MICHELE M","","33,250",375,"3 ,717","37,342"
ANDERSON HEART PHYSICIANS PC,"OAK RIDGE, TN",TN,"TEAGUE, STEPHEN M","",934,"","",934
"ANDERSON, BARBARA J","HOUSTON, TX",TX,"ANDERSON, BARBARA J","","","2,500",46,"2,546"
"ANDERSON, DANIEL D","TORRANCE, CA",CA,"ANDERSON, DANIEL D","","10,550","",345,"10,895"
"ANDERSON, JOHN E","NASHVILLE, TN",TN,"ANDERSON, JOHN E","","35,988","","1 ,599","37,586"
"ANDERSON, KEITH","GARLAND, TX",TX,"ANDERSON, KEITH","","",188,"",188
"ANDERSON, MILTON W","JEFFERSON, LA",LA,"ANDERSON, MILTON W","","9,600","",42,"9,642"
"ANDERSON, SAMUEL R","GROVE CITY, OH",OH,"ANDERSON, SAMUEL R","","16,906","",44,"16,950"
"ANDERSON, SANDRA L","LENEXA, KS",KS,"ANDERSON, SANDRA L",806,"","",79,885
"ANDERSON, STAN R","NORTH CANTON, OH",OH,"ANDERSON, STAN R","","51,050","3,250","6 ,198","60,498"
ANDREW D. HENRY MD,"TAMPA, FL",FL,"HENRY, ANDREW D","","1,725","","","1,725"
"ANDREWS, STEPHEN J","TOLEDO, OH",OH,"ANDREWS, STEPHEN J","","16,838","",949,"17,787"
"ANDRUS, PHILLIP D","NEW HAVEN, CT",CT,"ANDRUS, PHILLIP D","","",500,"",500
"ANGEL, NANCY","SOUTHFIELD, MI",MI,"ANGEL, NANCY","3,113","","",254,"3,367"
"ANGELES WORLD, INC.","GRANADA HILLS, CA",CA,"ANGELES, ADA","65,550","","","15,157","80,707"
"ANGELOPOULOS, PETER","GARDEN CITY, NY",NY,"ANGELOPOULOS, PETER","","3,384","",18,"3,402"
"ANGIOLILLO, DOMINICK J","JACKSONVILLE, FL",FL,"ANGIOLILLO, DOMINICK J","","44,972",375,"5 ,602","50,948"
Entity Paid,"","",Provider of Service,Payments*(All Amounts  in US Dollars)* Payments for reimbursed expenses are not compensation.,"","","",""
Name,Location,State,Name,Patient Education Programs,Healthcare Professional Education Programs,Advising/Consulting & International Education Programs,Certain Travel-Related Expenses,2010 Total
"ANGSTADT, JOANNE","SAVANNAH, GA",GA,"ANGSTADT, JOANNE",713,"","","",713
"ANIKE, PAUL N","LIMA, OH",OH,"ANIKE, PAUL N","","8,584","","","8,584"
"ANIL PARIKH MD, INC.","AKRON, OH",OH,"PARIKH, ANIL M","","51,300",250,"11,251","62,801"
"ANLAK, INC,","LAKEWOOD, OH",OH,"LICATA, ANGELO A","","39,713","","2 ,043","41,756"
"ANN M. BABBITT, MD, PA","SOUTH PORTLAND, ME",ME,"BABBITT, ANN M","","","1,641","","1,641"
"ANNA K. IMPERATO, MD PLLC","MANHASSET, NY",NY,"IMPERATO, ANNA K","","5,425","",18,"5,443"
"ANNABI, MICHAEL H","EL PASO, TX",TX,"ANNABI, MICHAEL H","","1,900","","","1,900"
"ANOOSHIAN, JOHN V","LAS VEGAS, NV",NV,"ANOOSHIAN, JOHN V","","55,138","","9 ,512","64,649"
ANOVA PSYCHIATRIC SERVICES,"AURORA, OH",OH,"ZEDAR, MARK J","","","",37,37
"ANSCHEL, DOLORES","MURRELLS INLET, SC",SC,"ANSCHEL, DOLORES","7,763","","",467,"8,229"
"ANSEL, BAULO","RICHMOND, CA",CA,"ANSEL, BAULO","8,700",300,"","2 ,565","11,565"
"ANTHONY GERACI, MD PC","NEW YORK, NY",NY,"GERACI, ANTHONY R","","49,725","","1 ,464","51,189"
"ANTHONY, KARA","CHARLEROI, PA",PA,"ANTHONY, KARA",638,"","",3,640
"ANTO, MALIAKAL J","HUNTINGTON, NY",NY,"ANTO, MALIAKAL J","",84,"",100,184
"ANTONIO CUSI, MD","FAYETTEVILLE, NC",NC,"CUSI, ANTONIO","","22,900","",463,"23,363"
"ANWAR, MUHAMMAD","NORMAN, OK",OK,"ANWAR, MUHAMMAD","",934,"","",934
"AP PSYCHIATRIC AND COUNSELING SERVICES, INC.","JACKSONVILLE, FL",FL,"PATHAK, ANJALI A","","52,500","","8 ,321","60,821"
"APARICIO, LUIS F","ERIE, PA",PA,"APARICIO, LUIS F","","5,475","","","5,475"
"APFELDORF, WILLIAM J","ALBUQUERQUE, NM",NM,"APFELDORF, WILLIAM J","","44,700","","3 ,621","48,321"
APK CONSULTING GROUP,"MANKATO, MN",MN,"STORVICK, ERIC J","","2,400","",60,"2,460"
APL-LLC,"MILWAUKEE, WI",WI,"PANKIEWICZ, JOHN","","50,250","","5 ,599","55,849"
"APONTE, JUAN P","LYNCHBURG, VA",VA,"APONTE, JUAN P","","44,250",750,"3 ,252","48,252"
APPALACHIAN PSYCHIATRIC SERVICES,"BECKLEY, WV",WV,"FAHEEM, AHMED D","","10,800","",183,"10,983"
"AQEEL, NOORULAIN A","VALLEJO, CA",CA,"AQEEL, NOORULAIN A","","4,950","",573,"5,523"
AQUILA BEHAVIORAL,"JERSEY CITY, NJ",NJ,"AQUILA, RALPH F","","49,950","2 1,469","5 ,510","76,929"
"ARAKAKI, RICHARD F","WAIPAHU, HI",HI,"ARAKAKI, RICHARD F","","18,881","",14,"18,895"
"ARANDA, JUAN M","GAINESVILLE, FL",FL,"ARANDA, JUAN M","",84,"","",84
"ARASH A. HORIZON, MD INC","BEVERLY HILLS, CA",CA,"HORIZON, ARASH A","","15,450","",265,"15,715"
"ARBOLEDA, EVELYN D","YORKTOWN, VA",VA,"ARBOLEDA, EVELYN D","","10,550","","1 ,078","11,628"
"ARCE-LARA, CARLOS E","LOUISVILLE, KY",KY,"ARCE-LARA, CARLOS E","","9,250","",916,"10,166"
"ARELIS M. MADERA, MD, PA","PORT CHARLOTTE, FL",FL,"MADERA, ARELIS M","","22,181","",692,"22,873"
"ARGENTO, NICHOLAS B","COLUMBIA, MD",MD,"ARGENTO, NICHOLAS B","","7,069","",42,"7,111"
"ARGOFF, CHARLES E","ALBANY, NY",NY,"ARGOFF, CHARLES E","","25,956","8,625","5 ,360","39,941"
"ARIAS, ALEJANDRA","BROOKLYN, NY",NY,"ARIAS, ALEJANDRA","7,425","","",695,"8,120"
"ARIEL ZISMAN MD, PA","MIAMI, FL",FL,"ZISMAN, ARIEL","","6 ,225","",614,"6,839"
ARIZONA SUN FAMILY MEDICINE,"GILBERT, AZ",AZ,"PATEL, RAKESHKUMAR C","","7 ,575","",37,"7,612"
"ARJOMAND, HEIDER","DOVER, NH",NH,"ARJOMAND, HEIDER","","8 ,159","",793,"8,953"
ARMAN CONSULTING LLC,"LAFAYETTE, LA",LA,"CHANGLANI, MAHESH","","48,484","","6 ,593","55,077"
ARMAND BRAUN MD PA,"FORT LAUDERDALE, FL",FL,"BRAUN, ARMAND","","53,150","","6 ,773","59,923"
"ARMAS, EDNA","KIRKLAND, WA",WA,"ARMAS, EDNA","2,063","","",467,"2,530"
"ARMSTRONG, JULIE L","WACO, TX",TX,"ARMSTRONG, JULIE L","6,300","","",72,"6,372"
"ARNOLD, MARY BETH","AUGUSTA, GA",GA,"ARNOLD, MARY BETH","4,031","","",447,"4,479"
"ARNOLD, PAM","CHARLESTON, SC",SC,"ARNOLD, PAM","4,369","2 ,363","",593,"7,324"
"ARONOFF, STEPHEN L","DALLAS, TX",TX,"ARONOFF, STEPHEN L","","25,438","",265,"25,703"
"ARONSON, RICHARD A","GREENSBORO, NC",NC,"ARONSON, RICHARD A","","49,913","3,000","3 ,453","56,365"
"ARORA, MADAN B","FLINT, MI",MI,"ARORA, MADAN B","","4,513","",137,"4,650"
"ARORA, UMESH K","SAN ANTONIO, TX",TX,"ARORA, UMESH K","","2 ,634","","","2,634"
"ARORA, VIKRAM J","BIRMINGHAM, AL",AL,"ARORA, VIKRAM J","",84,"","",84
"ARRINGTON, WANDA B","CHARLOTTE, NC",NC,"ARRINGTON, WANDA B","16,313","","","1 ,570","17,883"
"ARSLANIAN, SILVA M","PITTSBURGH, PA",PA,"ARSLANIAN, SILVA M","","","9,188",37,"9,225"
"ART SNYDER, MD INC.","LAS CRUCES, NM",NM,"SNYDER, ARTHUR R","","3,975","",427,"4,402"
ARTHRITIS & OSTEOPOROSIS CENTERS,"EDINBURG, TX",TX,"ZAMORA, JORGE C","","45,975","","5 ,376","51,351"
ARTHRITIS AND RHEUMATISM ASSOCIATES,"CLEARWATER, FL",FL,"ROSEN, ADAM M","","33,450","","2 ,081","35,531"
